code,kabupaten_code,name,lat,lon
510101,5101,NEGARA,-8.3482464,114.5955356
510102,5101,MENDOYO,-8.317084,114.7617836
510103,5101,PEKUTATAN,-8.4101762,114.8804853
510104,5101,MELAYA,-8.2300842,114.5480227
510105,5101,JEMBRANA,-8.3605987,114.6256578
510201,5102,SELEMADEG,-8.491588,115.0457
510202,5102,SELEMADEG TIMUR,-8.491588,115.0457
510203,5102,SELEMADEG BARAT,-8.491588,115.0457
510204,5102,KERAMBITAN,-8.5223784,115.0881146
510205,5102,TABANAN,-8.5375566,115.1246918
510206,5102,KEDIRI,-8.5852167,115.1296249
510207,5102,MARGA,-8.4460246,115.1711298
510208,5102,PENEBEL,-8.3941828,115.1177654
510209,5102,BATURITI,-8.3397885,115.1770586
510210,5102,PUPUAN,-8.360244,115.0228736
510301,5103,KUTA,-8.7223957,115.1767095
510302,5103,MENGWI,-8.5617185,115.1770586
510303,5103,ABIANSEMAL,-8.5646342,115.2206964
510304,5103,PETANG,-8.3365862,115.2244853
510305,5103,KUTA SELATAN,-8.7815919,115.1787738
510306,5103,KUTA UTARA,-8.6597034,115.163278
510401,5104,SUKAWATI,-8.5955412,115.2719048
510402,5104,BLAHBATUH,-8.5922305,115.319317
510403,5104,GIANYAR,-8.5367146,115.3314412
510404,5104,TAMPAKSIRING,-8.4390082,115.3104277
510405,5104,UBUD,-8.5068536,115.2624778
510406,5104,TEGALLALANG,-8.3921715,115.2956118
510407,5104,PAYANGAN,-8.3954042,115.2481959
510501,5105,NUSA PENIDA,NULL,NULL
510502,5105,BANJARANGKAN,-8.5559072,115.3696844
510503,5105,KLUNGKUNG,-8.5388252,115.402367
510504,5105,DAWAN,-8.5435854,115.4378152
510601,5106,SUSUT,-8.4145123,115.3370947
510602,5106,BANGLI,-8.454303,115.354897
510603,5106,TEMBUKU,-8.4058202,115.3904215
510604,5106,KINTAMANI,-8.2573896,115.3548713
510701,5107,RENDANG,-8.3623262,115.4378152
510702,5107,SIDEMEN,-8.4831122,115.4378152
510703,5107,MANGGIS,-8.4765241,115.5325797
510704,5107,KARANGASEM,-8.4462932,115.6127292
510705,5107,ABANG,-8.3693974,115.6273131
510706,5107,BEBANDEM,-8.3960371,115.5325797
510707,5107,SELAT,-8.4194238,115.4852012
510708,5107,KUBU,2.0897794,100.5071143
510801,5108,GEROKGAK,-8.2146454,114.7855271
510802,5108,SERIRIT,-8.2053196,114.9279547
510803,5108,BUSUNGBIU,-8.3262486,114.9279547
510804,5108,BANJAR,-7.3706874,108.5342487
510805,5108,SUKASADA,-8.1928129,115.1177654
510806,5108,BULELENG,-8.1186202,115.0999753
510807,5108,SAWAN,-8.1587483,115.1770586
510808,5108,KUBUTAMBAHAN,-8.1062097,115.2126293
510809,5108,TEJAKULA,-8.1292662,115.319317
517101,5171,DENPASAR SELATAN,-8.6717394,115.2339072
517102,5171,DENPASAR TIMUR,-8.6418158,115.2543208
517103,5171,DENPASAR BARAT,-8.6666464,115.1948445
517104,5171,DENPASAR UTARA,-8.6253583,115.2067011
